Table S9. The PRI result of true external FCOCs using the optimal Mouse-Rat iQTTR model and the optimal Rat-Mouse iQTTR model,,,,,,,,,,,
Mouse-Rat iQTTR Model (36 compounds),,,,,,,,,,,
No.,CID,Score(MAE-LOO),Score(Proximity Train YObs Mean),Score(Similarity based AD),CompositeScore,PredictionQuality,YPred(Test),AD status,Closest Training Compound,Euclidean Distance,Generalized Jaccard Coeff.
1,1017,2,3,3,3,Good,1.683095771,In,8346,0.016579104,0.951281799
2,2787,2,3,3,3,Good,2.372593016,In,6626,0.139066856,0.813122258
3,3259,2,3,3,3,Good,2.216943121,In,6626,0.064228328,0.904039577
4,6785,2,3,3,3,Good,1.552951413,In,8346,0.035026882,0.891801194
5,6787,2,3,3,3,Good,1.122490592,In,2391,0.009016482,0.916339298
6,8344,2,3,3,3,Good,1.819240055,In,3026,0.018583707,0.95536441
7,8573,2,3,3,3,Good,2.715078241,In,3079008,0.059306452,0.940693548
8,10708,2,3,3,3,Good,1.796966493,In,3026,0.009257646,0.977254878
9,12442,2,3,3,3,Good,1.68191203,In,8346,0.016109717,0.952595724
10,15854,2,3,3,3,Good,3.206332427,In,3066198,0.140004616,0.877189431
11,18725,2,3,3,3,Good,0.772426366,In,171260,0.01571357,-
12,20326,2,3,3,3,Good,3.040179396,In,3066198,0.060466834,0.942980928
13,20327,2,3,3,3,Good,3.260474984,In,3066198,0.165922765,0.857689746
14,23871,2,3,3,3,Good,3.182624566,In,3066198,0.128655617,0.886009856
15,30580,2,3,3,3,Good,2.327941487,In,6626,0.117597811,0.83727777
16,36713,2,3,3,3,Good,2.82157629,In,3079008,0.006305569,0.993694431
17,41819,2,3,3,3,Good,2.039072707,In,33934,0.00158227,0.997227598
18,41821,2,3,3,3,Good,2.591752543,In,3079008,0.12068195,0.87931805
19,76302,2,3,3,3,Good,1.873589262,In,5502,0.002845051,0.993844311
20,100191,2,2,3,3,Good,3.980981245,In,4485134,0.054575548,0.945424452
21,100570,2,3,3,3,Good,2.905811008,In,3066198,0.003855576,0.996144424
22,202896,2,3,3,3,Good,1.629634805,In,8346,0.004619708,0.985729619
23,210559,2,3,3,3,Good,2.090254281,In,6626,0.003314659,0.994551909
24,214768,2,3,3,3,Good,3.022571612,In,3066198,0.052037954,0.950536049
25,214769,2,3,3,3,Good,3.696418278,In,4485134,0.139817751,0.860182249
26,767036,2,3,3,3,Good,2.01676741,In,33934,0.008902185,0.984358521
27,3047066,2,3,3,3,Good,3.201269872,In,3066198,0.137581161,0.879058158
28,3047067,2,3,3,3,Good,2.796650223,In,3079008,0.018710524,0.981289476
29,3047068,2,3,3,3,Good,2.471297988,In,3079008,0.180628566,0.819371434
30,3056769,2,2,3,3,Good,3.823260427,In,4485134,0.101821576,0.898178424
31,3066711,2,3,3,3,Good,3.051801616,In,3066198,0.066030414,0.93805954
32,3066712,2,3,3,3,Good,2.836439917,In,3079008,0.001091612,0.998909578
33,3066715,2,3,3,3,Good,2.893070028,In,3066198,0.009954708,0.990045292
34,3066716,2,3,3,3,Good,2.852399552,In,3079007,0.006726705,0.993318241
35,3066718,2,3,3,3,Good,2.773762798,In,3079008,0.030100909,0.969899091
36,3079009,2,3,3,3,Good,2.874660293,In,70897,0.002743715,0.997263792
 User-defined Weightage :,,,,,,,,,,,
 To Score MAE(Loo) ,0.5,,,,,,,,,,
 To Score (AD) ,0.5,,,,,,,,,,
 To Score (Mean) ,0,,,,,,,,,,
Internal validation metrics:,,,,,,,,,,,
R^2,0.77722,,,,,,,,,,
Q^2(LOO),0.7154,,,,,,,,,,
Avg Rm^2,0.61851,,,,,,,,,,
Delta Rm^2,0.18695,,,,,,,,,,
MAE (100% data),0.36909,,,,,,,,,,
MAE (95% data),0.34329,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Rat-Mouse iQTTR Model (39 compounds),,,,,,,,,,,
No.,CID,Score(MAE-LOO),Score(Proximity Train YObs Mean),Score(Similarity based AD),CompositeScore,PredictionQuality,YPred(Test),AD status,Closest Training Compound,Euclidean Distance,Generalized Jaccard Coeff.
1,6777,2,3,3,3,Good,1.39760341,In,1,0.008565731,0.913688687
2,6778,2,3,3,3,Good,1.804418279,In,12,0.031607212,0.908488447
3,6786,2,3,3,3,Good,1.404867962,In,1,0.011335989,0.88887651
4,6788,2,3,3,3,Good,1.252312386,In,11,0.021527356,0.665227952
5,6963,2,3,3,3,Good,1.542894435,In,17,0.002762855,0.983596984
6,8269,2,3,3,3,Good,2.327465968,In,23,0.021191221,0.969619764
7,8345,2,3,3,3,Good,1.833476484,In,12,0.017938346,0.948063566
8,8379,2,3,3,3,Good,1.310428796,In,11,9.88e-05,0.998465347
9,8380,2,3,3,3,Good,1.346751552,In,1,0.010826072,0.880607804
10,8560,2,3,3,3,Good,2.509079749,In,16,0.048466309,0.951533691
11,8571,2,3,3,3,Good,2.312936865,In,23,0.012675592,0.981603383
12,12111,2,3,3,3,Good,1.811682831,In,12,0.028189996,0.918382227
13,19283,2,3,3,3,Good,1.644598152,In,9,0.010080614,0.955755148
14,20393,2,3,3,3,Good,2.327465968,In,23,0.021191221,0.969619764
15,25689,2,3,3,3,Good,3.032127437,In,28,0.136645545,0.879781744
16,29321,2,3,3,3,Good,2.785132695,In,28,0.011523021,0.988476979
17,30948,2,3,3,3,Good,2.581725261,In,16,0.001926261,0.998077443
18,31315,2,3,3,3,Good,3.221005769,In,28,0.249950919,0.800031413
19,33154,2,3,3,3,Good,1.295899693,In,11,0.005307711,0.917459747
20,33599,2,3,3,3,Good,1.252312386,In,11,0.021527356,0.665227952
21,34277,2,3,3,3,Good,1.383074308,In,1,0.003025216,0.967714417
22,40399,2,3,3,3,Good,2.305672314,In,23,0.008417777,0.987706962
23,62629,2,3,3,3,Good,2.349259622,In,27,0.020985873,0.972805536
24,66540,2,3,3,3,Good,1.165137771,In,5,0.009713268,0
25,67846,2,3,3,3,Good,2.436434236,In,27,0.03301425,0.958973768
26,69046,2,3,3,3,Good,1.739037318,In,8,0.008800661,0.966672933
27,73864,2,3,3,3,Good,2.095000329,In,3,0.028740949,0.941212922
28,75903,2,3,3,3,Good,2.196704046,In,13,0.00507522,0.991328671
29,83119,2,3,3,3,Good,2.908630066,In,28,0.062561262,0.941122207
30,85537,2,3,3,3,Good,1.855270138,In,12,0.007686696,0.977744905
31,94652,2,3,3,3,Good,2.523608851,In,16,0.038387795,0.961612205
32,94965,2,3,3,3,Good,2.530873402,In,16,0.033348538,0.966651462
33,158455,2,3,3,3,Good,2.087735777,In,3,0.025032229,0.948407408
34,161559,2,3,3,3,Good,1.535629884,In,17,0.005730617,0.965977441
35,162076,2,3,3,3,Good,2.690693529,In,21,0.003585953,0.996426861
36,205831,2,3,3,3,Good,1.21598963,In,5,0.027492877,0
37,3079010,2,3,3,3,Good,2.407376031,In,27,0.015014209,0.98091521
38,9588367,2,3,3,3,Good,2.937688271,In,28,0.079992858,0.925932049
39,9588691,2,3,3,3,Good,2.901365515,In,28,0.058203363,0.944997942
 User-defined Weightage :,,,,,,,,,,,
 To Score MAE(Loo) ,0.5,,,,,,,,,,
 To Score (AD) ,0.5,,,,,,,,,,
 To Score (Mean) ,0,,,,,,,,,,
Internal validation metrics:,,,,,,,,,,,
R^2,0.74591,,,,,,,,,,
Q^2(LOO),0.69652,,,,,,,,,,
Avg Rm^2,0.59458,,,,,,,,,,
Delta Rm^2,0.18479,,,,,,,,,,
MAE (100% data),0.35623,,,,,,,,,,
MAE (95% data),0.33487,,,,,,,,,,
